GRUPO FINANCEIRO;Consultor Comercial;Empresa;Tipo;Pagto;Porte Cliente;Cliente (Razão Social);CNPJ;Operadora;Benefício ;Parcela;Mes Referencia ;Tipo Receita; Premio Bruto ;% Receita para XIPP;Receita Bruta da Corretora XIPP;  % Impostos retidos;Impostos retidos;Receita recebida pela Corretora XIPP;(%) Impostos sobre receita;  Imposto R$  ; Receita Líquida  ;"% 
Comissão"; Comissão a Pagar 
Confirp Associados Ltda.;Leandro Peralta;Leandro Peralta;Consultor Interno;01/01/2024;Middle;Confirp Associados Ltda.;26.758.309/0001-39;Amil;Odonto;11,00;01/12/2023;Comissão; 882,78 ;0,05; 44,14 ;0,015;0,662085;43,476915;0,1425;6,195460388;18,64072731;0,1;1,864072731
Financeiro 24 Horas.com;Leandro Peralta;Leandro Peralta;Consultor Interno;01/01/2024;Middle;Financeiro 24 Horas.com;04.929.302/0001-08;Amil;Odonto;11,00;01/12/2023;Comissão; 1.789,04 ;0,05; 89,45 ;0,015;1,34178;88,11022;0,1425;12,55570635;38,31529091;0,1;3,831529091
Pacaembu Construtora;Leandro Peralta;Leandro Peralta;Consultor Interno;01/01/2024;Middle;Pacaembu Construtora;96.298.013/0001-68;Sulamérica;Saúde;6,00;01/12/2023;Fee; 19.903,78 ;1; 19.903,78 ;0,0615;1224,08247;18679,69753;0,1425;2661,856898;7833,819442;0,1;783,3819442
"	Grafica Gonçalves";Leandro Peralta;Leandro Peralta;Consultor Interno;01/01/2024;Corporate;"	Grafica Gonçalves";61.070.744/0004-10;Sulamérica;Saúde;8,00;01/01/2024;Comissão; 16.426,00 ;0,02; 328,52 ;0,065;21,3538;307,1662;0,1425;43,7711835;180,5835661;0,1;18,05835661
"	Grafica Gonçalves";Leandro Peralta;Leandro Peralta;Consultor Interno;01/01/2024;Corporate;"	Grafica Gonçalves";61.070.744/0004-10;Omint;Saúde;7,00;01/12/2023;Comissão; 55.776,59 ;0,02; 1.115,53 ;0,065;72,509567;1043,022233;0,1425;148,6306682;626,0740954;0,1;62,60740954
DV3 Soluções Logísticas Ltda;Leandro Peralta;Leandro Peralta;Consultor Interno;01/01/2024;Middle;DV3 Soluções Logísticas Ltda;57.317.133/0001-03;GNDI;Saúde;8;01/12/2023;Comissão; 62.752,61 ;0,05; 3.137,63 ;0,065;203,9459825;2933,684518;0,1425;418,0500437;1690,968666;0,1;169,0968666
DV3 Soluções Logísticas Ltda;Leandro Peralta;Leandro Peralta;Consultor Interno;01/01/2024;Middle;DV3 Soluções Logísticas Ltda;57.317.133/0002-94;GNDI;Saúde;8;01/12/2023;Comissão; 48.381,63 ;0,05; 2.419,08 ;0,065;157,2402975;2261,841203;0,1425;322,3123714;1357,670182;0,1;135,7670182
DV3 Soluções Logísticas Ltda;Leandro Peralta;Leandro Peralta;Consultor Interno;01/01/2024;Middle;DV3 Soluções Logísticas Ltda;57.317.133/0001-03;Sulamérica;Saúde;9,00;01/12/2023;Comissão; 13.405,00 ;0,02; 268,10 ;0,035;9,3835;258,7165;0,1425;36,86710125;155,2945791;0,1;15,52945791
Cognita;Leandro Peralta;Leandro Peralta;Consultor Interno;01/01/2024;Middle;Cognita;16.707.495/0001-23;Sulamérica;Saúde;6,00;01/01/2024;Comissão; 75.697,50 ;0,02; 1.513,95 ;0,065;98,40675;1415,54325;0,1425;201,7149131;856,5113787;0,1;85,65113787
Cognita;Leandro Peralta;Leandro Peralta;Consultor Interno;01/01/2024;Middle;Cognita;14.555.616/0001-33;Sulamérica;Saúde;6,00;01/01/2024;Comissão; 99.198,00 ;0,02; 1.983,96 ;0,065;128,9574;1855,0026;0,1425;264,3378705;1184,238189;0,1;118,4238189
Ortobom;Leandro Peralta;Leandro Peralta;Consultor Interno;01/01/2024;Corporate;Ortobom;03.728.906/0001-15;Omint;Saúde;7,00;01/12/2023;Comissão; 77.171,00 ;0,05; 3.858,55 ;0,065;250,80575;3607,74425;0,1425;514,1035556;3093,640694;0,1;309,3640694
Ortobom;Leandro Peralta;Leandro Peralta;Consultor Interno;01/01/2024;Corporate;Ortobom;02.748.305/0001-01;Metlife Vida;Vida;5,00;01/11/2023;Comissão; 723,64 ;0,15; 108,55 ;0,035;3,79911;104,74689;0,1425;14,92643183;89,82045818;0,1;8,982045818
Ortobom;Leandro Peralta;Leandro Peralta;Consultor Interno;01/01/2024;Corporate;Ortobom;09.566.851/0001-70;Metlife Vida;Vida;5,00;01/11/2023;Comissão; 610,50 ;0,15; 91,58 ;0,035;3,205125;88,369875;0,1425;12,59270719;75,77716781;0,1;7,577716781
Ortobom;Leandro Peralta;Leandro Peralta;Consultor Interno;01/01/2024;Corporate;Ortobom;14.294.395/0001-97;Metlife Vida;Vida;5,00;01/11/2023;Comissão; 255,31 ;0,15; 38,30 ;0,035;1,3403775;36,9561225;0,1425;5,266247456;31,68987504;0,1;3,168987504
Ortobom;Leandro Peralta;Leandro Peralta;Consultor Interno;01/01/2024;Corporate;Ortobom;01.888.285/0001-01;Metlife Vida;Vida;5,00;01/11/2023;Comissão; 494,35 ;0,15; 74,15 ;0,035;2,5953375;71,5571625;0,1425;10,19689566;61,36026684;0,1;6,136026684
Ortobom;Leandro Peralta;Leandro Peralta;Consultor Interno;01/01/2024;Corporate;Ortobom;43.074.533/0008-05;Metlife Vida;Vida;5,00;01/11/2023;Comissão; 156,80 ;0,15; 23,52 ;0,035;0,8232;22,6968;0,1425;3,234294;19,462506;0,1;1,9462506
Ortobom;Leandro Peralta;Leandro Peralta;Consultor Interno;01/01/2024;Corporate;Ortobom;02.748.305/0006-16;Metlife Vida;Vida;5,00;01/11/2023;Comissão; 38,48 ;0,15; 5,77 ;0,035;0,20202;5,56998;0,1425;0,79372215;4,77625785;0,1;0,477625785
Ortobom;Leandro Peralta;Leandro Peralta;Consultor Interno;01/01/2024;Corporate;Ortobom;43.074.533/0006-35;Metlife Vida;Vida;5,00;01/11/2023;Comissão; 259,90 ;0,15; 38,99 ;0,035;1,364475;37,620525;0,1425;5,360924813;32,25960019;0,1;3,225960019
Ortobom;Leandro Peralta;Leandro Peralta;Consultor Interno;01/01/2024;Corporate;Ortobom;43.074.533/0002-01;Metlife Vida;Vida;5,00;01/11/2023;Comissão; 279,03 ;0,15; 41,85 ;0,035;1,4649075;40,3895925;0,1425;5,755516931;34,63407557;0,1;3,463407557
Ortobom;Leandro Peralta;Leandro Peralta;Consultor Interno;01/01/2024;Corporate;Ortobom;43.074.533/0005-54;Metlife Vida;Vida;5,00;01/11/2023;Comissão; 461,84 ;0,15; 69,28 ;0,035;2,42466;66,85134;0,1425;9,52631595;57,32502405;0,1;5,732502405
Ortobom;Leandro Peralta;Leandro Peralta;Consultor Interno;01/01/2024;Corporate;Ortobom;43.074.533/0007-16;Metlife Vida;Vida;5,00;01/11/2023;Comissão; 245,21 ;0,15; 36,78 ;0,035;1,2873525;35,4941475;0,1425;5,057916019;30,43623148;0,1;3,043623148
Ortobom;Leandro Peralta;Leandro Peralta;Consultor Interno;01/01/2024;Corporate;Ortobom;43.074.533/0011-00;Metlife Vida;Vida;5,00;01/11/2023;Comissão; 212,40 ;0,15; 31,86 ;0,035;1,1151;30,7449;0,1425;4,38114825;26,36375175;0,1;2,636375175
Ortobom;Leandro Peralta;Leandro Peralta;Consultor Interno;01/01/2024;Corporate;Ortobom;43.074.533/0015-26;Metlife Vida;Vida;5,00;01/11/2023;Comissão; 197,71 ;0,15; 29,66 ;0,035;1,0379775;28,6185225;0,1425;4,078139456;24,54038304;0,1;2,454038304
Ortobom;Leandro Peralta;Leandro Peralta;Consultor Interno;01/01/2024;Corporate;Ortobom;43.074.533/0018-79;Metlife Vida;Vida;5,00;01/11/2023;Comissão; 307,40 ;0,15; 46,11 ;0,035;1,61385;44,49615;0,1425;6,340701375;38,15544863;0,1;3,815544863
Ortobom;Leandro Peralta;Leandro Peralta;Consultor Interno;01/01/2024;Corporate;Ortobom;43.074.533/0020-93;Metlife Vida;Vida;5,00;01/11/2023;Comissão; 80,75 ;0,15; 12,11 ;0,035;0,4239375;11,6885625;0,1425;1,665620156;10,02294234;0,1;1,002294234
Ortobom;Leandro Peralta;Leandro Peralta;Consultor Interno;01/01/2024;Corporate;Ortobom;43.074.533/0012-83;Metlife Vida;Vida;5,00;01/11/2023;Comissão; 177,69 ;0,15; 26,65 ;0,035;0,9328725;25,7206275;0,1425;3,665189419;22,05543808;0,1;2,205543808
Ortobom;Leandro Peralta;Leandro Peralta;Consultor Interno;01/01/2024;Corporate;Ortobom;02.748.383/0001-06;Metlife Vida;Vida;5,00;01/11/2023;Comissão;68,62;0,15; 10,29 ; 0,04 ;0,360255; 9,93 ;0,1425;1,415416163;8,517328838;0,1;0,851732884
Ortobom;Leandro Peralta;Leandro Peralta;Consultor Interno;01/01/2024;Corporate;Ortobom;"	43.074.533/0022-55";Metlife Vida;Vida;5,00;01/11/2023;Comissão;6,64;0,15; 1,00 ; 0,04 ;0,03486; 0,96 ;0,1425;0,13696245;0,82417755;0,1;0,082417755
Ortobom;Leandro Peralta;Leandro Peralta;Consultor Interno;01/01/2024;Corporate;Ortobom;43.074.533/0004-73;Metlife Vida;Vida;5,00;01/11/2023;Comissão;257,08;0,15; 38,56 ; 0,04 ;1,34967; 37,21 ;0,1425;5,302757025;31,90957298;0,1;3,190957298
Ortobom;Leandro Peralta;Leandro Peralta;Consultor Interno;01/01/2024;Corporate;Ortobom;43.074.533/0016-07;Metlife Vida;Vida;5,00;01/11/2023;Comissão;139,88;0,15; 20,98 ; 0,04 ;0,73437; 20,25 ;0,1425;2,885287275;17,36234273;0,1;1,736234273
Ortobom;Leandro Peralta;Leandro Peralta;Consultor Interno;01/01/2024;Corporate;Ortobom;43.074.533/0017-98;Metlife Vida;Vida;5,00;01/11/2023;Comissão;126,06;0,15; 18,91 ; 0,04 ;0,661815; 18,25 ;0,1425;2,600223863;15,64696114;0,1;1,564696114
Ortobom;Leandro Peralta;Leandro Peralta;Consultor Interno;01/01/2024;Corporate;Ortobom;43.074.533/0025-06;Metlife Vida;Vida;5,00;01/11/2023;Comissão;6,72;0,15; 1,01 ; 0,04 ;0,03528; 0,97 ;0,1425;0,1386126;0,8341074;0,1;0,08341074
Ortobom;Leandro Peralta;Leandro Peralta;Consultor Interno;01/01/2024;Corporate;Ortobom;43.074.533/0001-20;Metlife Vida;Vida;5,00;01/11/2023;Comissão;19,86;0,15; 2,98 ; 0,04 ;0,104265; 2,87 ;0,1425;0,409649738;2,465085263;0,1;0,246508526
Ortobom;Leandro Peralta;Leandro Peralta;Consultor Interno;01/01/2024;Corporate;Ortobom;37.041.584/0003-15;Metlife Vida;Vida;5,00;01/11/2023;Comissão;12,95;0,15; 1,94 ; 0,04 ;0,0679875; 1,87 ;0,1425;0,267118031;1,607394469;0,1;0,160739447
Ortobom;Leandro Peralta;Leandro Peralta;Consultor Interno;01/01/2024;Corporate;Ortobom;37.041.584/0002-34;Metlife Vida;Vida;5,00;01/11/2023;Comissão;51,79;0,15; 7,77 ; 0,04 ;0,2718975; 7,50 ;0,1425;1,068265856;6,428336644;0,1;0,642833664
Ortobom;Leandro Peralta;Leandro Peralta;Consultor Interno;01/01/2024;Corporate;Ortobom;17.288.387/0001-26;Metlife Vida;Vida;5,00;01/11/2023;Comissão;1192,72;0,15; 178,91 ; 0,04 ;6,26178; 172,65 ;0,1425;24,60208635;148,0441337;0,1;14,80441337
Ortobom;Leandro Peralta;Leandro Peralta;Consultor Interno;01/01/2024;Corporate;Ortobom;02.748.342/0001-10;Metlife Vida;Vida;5,00;01/11/2023;Comissão;1612,05;0,15; 241,81 ; 0,04 ;8,4632625; 233,34 ;0,1425;33,25155384;200,0926837;0,1;20,00926837
Ortobom;Leandro Peralta;Leandro Peralta;Consultor Interno;01/01/2024;Corporate;Ortobom;02.748.323/0001-93;Metlife Vida;Vida;5,00;01/11/2023;Comissão;1250,43;0,15; 187,56 ; 0,04 ;6,5647575; 181,00 ;0,1425;25,79246331;155,2072792;0,1;15,52072792
Ortobom;Leandro Peralta;Leandro Peralta;Consultor Interno;01/01/2024;Corporate;Ortobom;03.636.724/0001-14;Metlife Vida;Vida;5,00;01/11/2023;Comissão;875,66;0,15; 131,35 ; 0,04 ;4,597215; 126,75 ;0,1425;18,06212936;108,6896556;0,1;10,86896556
Ortobom;Leandro Peralta;Leandro Peralta;Consultor Interno;01/01/2024;Corporate;Ortobom;02.292.653/0001-17;Metlife Vida;Vida;5,00;01/11/2023;Comissão;512,22;0,15; 76,83 ; 0,04 ;2,689155; 74,14 ;0,1425;10,56549791;63,57834709;0,1;6,357834709
Ortobom;Leandro Peralta;Leandro Peralta;Consultor Interno;01/01/2024;Corporate;Ortobom;02.292.657/0001-03;Metlife Vida;Vida;5,00;01/11/2023;Comissão;681,35;0,15; 102,20 ; 0,04 ;3,5770875; 98,63 ;0,1425;14,05412128;84,57129122;0,1;8,457129122
Ortobom;Leandro Peralta;Leandro Peralta;Consultor Interno;01/01/2024;Corporate;Ortobom;02.748.357/0001-88;Metlife Vida;Vida;5,00;01/11/2023;Comissão;1186,09;0,15; 177,91 ; 0,04 ;6,2269725; 171,69 ;0,1425;24,46533017;147,2211973;0,1;14,72211973
Ortobom;Leandro Peralta;Leandro Peralta;Consultor Interno;01/01/2024;Corporate;Ortobom;02.748.342/0004-62;Metlife Vida;Vida;5,00;01/11/2023;Comissão;535,68;0,15; 80,35 ; 0,04 ;2,81232; 77,54 ;0,1425;11,0494044;66,4902756;0,1;6,64902756
Ortobom;Leandro Peralta;Leandro Peralta;Consultor Interno;01/01/2024;Corporate;Ortobom;54.213.764/0102-38;Metlife Vida;Vida;5,00;01/11/2023;Comissão;1432,6;0,15; 214,89 ; 0,04 ;7,52115; 207,37 ;0,1425;29,55006113;177,8187889;0,1;17,78187889
Ortobom;Leandro Peralta;Leandro Peralta;Consultor Interno;01/01/2024;Corporate;Ortobom;42.377.221/0001-23;Metlife Vida;Vida;5,00;01/11/2023;Comissão;1671,86;0,15; 250,78 ; 0,04 ;8,777265; 242,00 ;0,1425;34,48524724;207,5164878;0,1;20,75164878
Ortobom;Leandro Peralta;Leandro Peralta;Consultor Interno;01/01/2024;Corporate;Ortobom;14.294.395/0002-78;Metlife Vida;Vida;5,00;01/11/2023;Comissão;391,46;0,15; 58,72 ; 0,04 ;2,055165; 56,66 ;0,1425;8,074596488;48,58923851;0,1;4,858923851
Ortobom;Leandro Peralta;Leandro Peralta;Consultor Interno;01/01/2024;Corporate;Ortobom;37.041.584/0004-04;Metlife Vida;Vida;5,00;01/11/2023;Comissão;648,49;0,15; 97,27 ; 0,04 ;3,4045725; 93,87 ;0,1425;13,37632217;80,49260533;0,1;8,049260533
Ortobom;Leandro Peralta;Leandro Peralta;Consultor Interno;01/01/2024;Corporate;Ortobom;02.292.657/0001-03;Metlife Vida;Vida;5,00;01/11/2023;Comissão;681,96;0,15; 102,29 ; 0,04 ;3,58029; 98,71 ;0,1425;14,06670368;84,64700633;0,1;8,464700633
Ortobom;Leandro Peralta;Leandro Peralta;Consultor Interno;01/01/2024;Corporate;Ortobom;02.748.357/0001-88;Metlife Vida;Vida;5,00;01/11/2023;Comissão;101,35;0,15; 15,20 ; 0,04 ;0,5320875; 14,67 ;0,1425;2,090533781;12,57987872;0,1;1,257987872
Squadra;Leandro Peralta;Leandro Peralta;Consultor Interno;01/01/2024;Small;Squadra;30.966.130/0001-44;Icatu;Vida;1,00;01/11/2023;Agenciamento;1058,22;1; 1.058,22 ; 0,04 ;37,0377; 1.021,18 ;0,1425;145,5184778;612,9646756;0,2;122,5929351
"	Nutrien";Leandro Peralta;Leandro Peralta;Consultor Interno;01/01/2024;Corporate;"	Nutrien";36.854.495/0001-63;Odontoprev;Odonto;1,00;01/11/2023;Comissão;4308,1;0,1; 430,81 ; 0,04 ;15,07835; 415,73 ;0,1425;59,24176013;356,4898899;0,1;35,64898899
"	Nutrien";Leandro Peralta;Leandro Peralta;Consultor Interno;01/01/2024;Corporate;"	Nutrien";88.305.859/0004-00;Odontoprev;Odonto;1,00;01/11/2023;Comissão;36029,46;0,1; 3.602,95 ; 0,04 ;126,10311; 3.476,84 ;0,1425;495,4501118;2981,392778;0,1;298,1392778
"	Nutrien";Leandro Peralta;Leandro Peralta;Consultor Interno;01/01/2024;Corporate;"	Nutrien";03.860.998/0001-92;Odontoprev;Odonto;1,00;01/11/2023;Comissão;5365,76;0,1; 536,58 ; 0,04 ;18,78016; 517,80 ;0,1425;73,7859072;444,0099328;0,1;44,40099328
"	Nutrien";Leandro Peralta;Leandro Peralta;Consultor Interno;01/01/2024;Corporate;"	Nutrien";36.854.495/0001-63;Odontoprev;Odonto;1,00;01/11/2023;Comissão;4183,95;0,1; 418,40 ; 0,04 ;14,643825; 403,75 ;0,1425;57,53454244;346,2166326;0,1;34,62166326
"	Nutrien";Leandro Peralta;Leandro Peralta;Consultor Interno;01/01/2024;Corporate;"	Nutrien";03.482.332/0001-48;Odontoprev;Odonto;1,00;01/11/2023;Comissão;9053,08;0,1; 905,31 ; 0,04 ;31,68578; 873,62 ;0,1425;124,4911664;749,1310537;0,1;74,91310537
"	Nutrien";Leandro Peralta;Leandro Peralta;Consultor Interno;01/01/2024;Corporate;"	Nutrien";03.482.332/0001-48;Odontoprev;Odonto;1,00;01/11/2023;Comissão;718,79;0,1; 71,88 ; 0,04 ;2,515765; 69,36 ;0,1425;9,884260988;59,47897401;0,1;5,947897401
"	Nutrien";Leandro Peralta;Leandro Peralta;Consultor Interno;01/01/2024;Corporate;"	Nutrien";04.536.791/0001-20;Odontoprev;Odonto;1,00;01/11/2023;Comissão;575,04;0,1; 57,50 ; 0,04 ;2,01264; 55,49 ;0,1425;7,9075188;47,5838412;0,1;4,75838412
"	Nutrien";Leandro Peralta;Leandro Peralta;Consultor Interno;01/01/2024;Corporate;"	Nutrien";02.135.454/0001-03;Odontoprev;Odonto;1,00;01/11/2023;Comissão;575,03;0,1; 57,50 ; 0,04 ;2,012605; 55,49 ;0,1425;7,907381288;47,58301371;0,1;4,758301371
"	Nutrien";Leandro Peralta;Leandro Peralta;Consultor Interno;01/01/2024;Corporate;"	Nutrien";05.785.989/0001-00;Odontoprev;Odonto;1,00;01/11/2023;Comissão;1078,19;0,1; 107,82 ; 0,04 ;3,773665; 104,05 ;0,1425;14,82646024;89,21887476;0,1;8,921887476
"	Nutrien";Leandro Peralta;Leandro Peralta;Consultor Interno;01/01/2024;Corporate;"	Nutrien";12.215.731/0001-33;Odontoprev;Odonto;1,00;01/11/2023;Comissão;359,4;0,1; 35,94 ; 0,04 ;1,2579; 34,68 ;0,1425;4,94219925;29,73990075;0,1;2,973990075
"	Nutrien";Leandro Peralta;Leandro Peralta;Consultor Interno;01/01/2024;Corporate;"	Nutrien";02.135.454/0001-03;Odontoprev;Odonto;1,00;01/11/2023;Comissão;1375,04;0,1; 137,50 ; 0,04 ;4,81264; 132,69 ;0,1425;18,9085188;113,7828412;0,1;11,37828412
"	Nutrien";Leandro Peralta;Leandro Peralta;Consultor Interno;01/01/2024;Corporate;"	Nutrien";07.361.225/0001-12;Odontoprev;Odonto;1,00;01/11/2023;Comissão;862,55;0,1; 86,26 ; 0,04 ;3,018925; 83,24 ;0,1425;11,86114069;71,37493431;0,1;7,137493431
"	Nutrien";Leandro Peralta;Leandro Peralta;Consultor Interno;01/01/2024;Corporate;"	Nutrien";05.785.989/0001-00;Odontoprev;Odonto;1,00;01/11/2023;Comissão;1082,8;0,1; 108,28 ; 0,04 ;3,7898; 104,49 ;0,1425;14,8898535;89,6003465;0,1;8,96003465
"	Nutrien";Leandro Peralta;Leandro Peralta;Consultor Interno;01/01/2024;Corporate;"	Nutrien";04.536.791/0001-20;Odontoprev;Odonto;1,00;01/11/2023;Comissão;1544,01;0,1; 154,40 ; 0,04 ;5,404035; 149,00 ;0,1425;21,23206751;127,7648975;0,1;12,77648975
"	Nutrien";Leandro Peralta;Leandro Peralta;Consultor Interno;01/01/2024;Corporate;"	Nutrien";07.361.225/0001-12;Odontoprev;Odonto;1,00;01/11/2023;Comissão;1941,68;0,1; 194,17 ; 0,04 ;6,79588; 187,37 ;0,1425;26,7005271;160,6715929;0,1;16,06715929
"	Nutrien";Leandro Peralta;Leandro Peralta;Consultor Interno;01/01/2024;Corporate;"	Nutrien";12.215.731/0001-33;Odontoprev;Odonto;1,00;01/11/2023;Comissão;287,52;0,1; 28,75 ; 0,04 ;1,00632; 27,75 ;0,1425;3,9537594;23,7919206;0,1;2,37919206
"	Nutrien";Leandro Peralta;Leandro Peralta;Consultor Interno;01/01/2024;Corporate;"	Nutrien";03.860.998/0001-92;Odontoprev;Odonto;1,00;01/11/2023;Comissão;2422,5;0,1; 242,25 ; 0,04 ;8,47875; 233,77 ;0,1425;33,31240313;200,4588469;0,1;20,04588469
"	AIS WSI do Brasil";Leandro Peralta;Leandro Peralta;Consultor Interno;01/01/2024;Middle;"	AIS WSI do Brasil";17.495.999/0001-90;Bradesco;Saúde;2,00;01/12/2023;Comissão;269217,87;0,1; 26.921,79 ; 0,04 ;942,262545; 25.979,52 ;0,1425;3702,082235;22277,44222;0,1;2227,744222
Mangabeira;Leandro Peralta;Leandro Peralta;Consultor Interno;01/01/2024;Small;Mangabeira;17.988.226/0001-45;Porto;Saúde;1,00;01/10/2023;Est. Agenciamento;-2768,74;1;-2.768,74 ; 0,07 ;-179,9681;-2.588,77 ;0,1425;-368,8999958;-2219,871904;0,2;-443,9743809
Dexo Group;Leticia Santana;Leticia Santana;Consultor Interno;01/01/2024;Small;Dexo Group;09.372.389/0001-70;Amil;Saúde;1,00;01/12/2023;Agenciamento;2187,49;1; 2.187,49 ;0,015; 32,81 ;2154,67765;0,1425;307,0415651;1847,636085;0,1;184,7636085
Ceabs;Marcelo Natal;MNT Barcelos;Consultor Interno;01/01/2024;Middle;Ceabs;14.117.458/0001-30;Prudential;Vida;11,00;01/01/2024;Comissão;1434,32;0,3; 430,30 ;0,035; 15,06 ;415,23564;0,1425;59,1710787;356,0645613;0,1;35,60645613
Listo;Marcelo Natal;MNT Barcelos;Consultor Interno;01/01/2024;Middle;Listo;20.250.105/0001-06;Amil;Odonto;7,00;01/01/2024;Comissão;594,27;0,1; 59,43 ;0,035; 2,08 ;57,347055;0,1425;8,171955338;49,17509966;0,1;4,917509966
Listo;Marcelo Natal;MNT Barcelos;Consultor Interno;01/01/2024;Middle;Listo;20.250.105/0001-06;GNDI;Saúde;1,00;01/11/2023;Agenciamento;3703,71;1; 3.703,71 ;0,065; 240,74 ;3462,96885;0,1425;493,4730611;2969,495789;0,1;296,9495789
Listo;Marcelo Natal;MNT Barcelos;Consultor Interno;01/01/2024;Middle;Listo;31.739.211/0001-74;GNDI;Saúde;1,00;01/11/2023;Agenciamento;3129,62;1; 3.129,62 ;0,065; 203,43 ;2926,1947;0,1425;416,9827448;2509,211955;0,1;250,9211955
Listo;Marcelo Natal;MNT Barcelos;Consultor Interno;01/01/2024;Middle;Listo;31.862.653/0001-03;GNDI;Saúde;1,00;01/11/2023;Agenciamento;3660,22;1; 3.660,22 ;0,065; 237,91 ;3422,3057;0,1425;487,6785623;2934,627138;0,1;293,4627138
Listo;Marcelo Natal;MNT Barcelos;Consultor Interno;01/01/2024;Middle;Listo;20.250.105/0001-06;GNDI;Saúde;2,00;01/12/2023;Agenciamento;3703,71;1; 3.703,71 ;0,065; 240,74 ;3462,96885;0,1425;493,4730611;2969,495789;0,1;296,9495789
Listo;Marcelo Natal;MNT Barcelos;Consultor Interno;01/01/2024;Middle;Listo;31.739.211/0001-74;GNDI;Saúde;2,00;01/12/2023;Agenciamento;3129,62;1; 3.129,62 ;0,065; 203,43 ;2926,1947;0,1425;416,9827448;2509,211955;0,1;250,9211955
Listo;Marcelo Natal;MNT Barcelos;Consultor Interno;01/01/2024;Middle;Listo;31.862.653/0001-03;GNDI;Saúde;2,00;01/12/2023;Agenciamento;3660,22;1; 3.660,22 ;0,065; 237,91 ;3422,3057;0,1425;487,6785623;2934,627138;0,1;293,4627138
Listo;Marcelo Natal;MNT Barcelos;Consultor Interno;01/01/2024;Middle;Listo;20.250.105/0001-06;CNU;Saúde;1,00;01/11/2023;Agenciamento;13106,68;1; 13.106,68 ;0,065; 851,93 ;12254,7458;0,1425;1746,301277;10508,44452;0,1;1050,844452
Listo;Marcelo Natal;MNT Barcelos;Consultor Interno;01/01/2024;Middle;Listo;20.250.105/0001-06;CNU;Saúde;2,00;01/12/2023;Agenciamento;8895,54;1; 8.895,54 ;0,065; 578,21 ;8317,3299;0,1425;1185,219511;7132,110389;0,1;713,2110389
Omnilink;Marcelo Natal;MNT Barcelos;Consultor Interno;01/01/2024;Middle;Omnilink;03.585.974/0001-72;Zurich;Vida;10,00;01/12/2023;Comissão;532,49;0,1; 53,25 ;0,035; 1,86 ;51,385285;0,1425;7,322403113;44,06288189;0,1;4,406288189
Omnilink;Marcelo Natal;MNT Barcelos;Consultor Interno;01/01/2024;Middle;Omnilink;03.585.974/0001-72;Zurich;Vida;10,00;01/12/2023;Comissão;2443,98;0,1; 244,40 ;0,035; 8,55 ;235,84407;0,1425;33,60777998;202,23629;0,1;20,223629
Primalter;Marcelo Natal;MNT Barcelos;Consultor Interno;01/01/2024;Small;Primalter;39.367.060/0001-82;Metlife ;Odonto;1,00;01/10/2023;Agenciamento;442,8;1; 442,80 ;0,035; 15,50 ;427,302;0,1425;60,890535;366,411465;0,1;36,6411465
Primalter;Marcelo Natal;MNT Barcelos;Consultor Interno;01/01/2024;Small;Primalter;05.395.822/0001-32;Metlife ;Odonto;1,00;01/10/2023;Agenciamento;439,68;1; 439,68 ;0,035; 15,39 ;424,2912;0,1425;60,461496;363,829704;0,1;36,3829704
Primalter;Marcelo Natal;MNT Barcelos;Consultor Interno;01/01/2024;Small;Primalter;56.802.044/0002-70;Metlife ;Odonto;1,00;01/10/2023;Agenciamento;153,91;1; 153,91 ;0,035; 5,39 ;148,52315;0,1425;21,16454888;127,3586011;0,1;12,73586011
Primalter;Marcelo Natal;MNT Barcelos;Consultor Interno;01/01/2024;Small;Primalter;56.802.044/0001-90;Metlife ;Odonto;1,00;01/10/2023;Agenciamento;67,94;1; 67,94 ;0,035; 2,38 ;65,5621;0,1425;9,34259925;56,21950075;0,1;5,621950075
Objetivo;Marcelo Natal;MNT Barcelos;Consultor Interno;01/01/2024;Middle;Objetivo;58.230.988/0001-65;Odontoprev;Odonto;1,00;01/11/2023;Comissão;1299,29;0,1; 129,93 ;0,035; 4,55 ;125,381485;0,1425;17,86686161;107,5146234;0,1;10,75146234
Objetivo;Marcelo Natal;MNT Barcelos;Consultor Interno;01/01/2024;Middle;Objetivo;11.269.162/0001-46;Odontoprev;Odonto;1,00;01/11/2023;Comissão;684,3;0,1; 68,43 ;0,035; 2,40 ;66,03495;0,1425;9,409980375;56,62496963;0,1;5,662496963
Objetivo;Marcelo Natal;MNT Barcelos;Consultor Interno;01/01/2024;Middle;Objetivo;58.230.988/0005-99;Odontoprev;Odonto;1,00;01/11/2023;Comissão;580,82;0,1; 58,08 ; 0,04 ;2,03287; 56,05 ;0,1425;7,987001025;48,06212898;0,1;4,806212898
Objetivo;Marcelo Natal;MNT Barcelos;Consultor Interno;01/01/2024;Middle;Objetivo;11.284.003/0001-10;Odontoprev;Odonto;1,00;01/11/2023;Comissão;474,16;0,1; 47,42 ; 0,04 ;1,65956; 45,76 ;0,1425;6,5202927;39,2361473;0,1;3,92361473
Objetivo;Marcelo Natal;MNT Barcelos;Consultor Interno;01/01/2024;Middle;Objetivo;09.395.438/0001-90;Odontoprev;Odonto;1,00;01/11/2023;Comissão;842,76;0,1; 84,28 ; 0,04 ;2,94966; 81,33 ;0,1425;11,58900345;69,73733655;0,1;6,973733655
